Sun Apr 24 00:53:53 2016    profile

         1412500 function calls (1409886 primitive calls) in 1.122 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\_strptime.py:101(<listcomp>)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:716(find_spec)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\_strptime.py:93(<listcomp>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1298(path_hook_for_FileFinder)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__init__)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\encodings\cp1252.py:22(decode)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\_strptime.py:117(__calc_date_time)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:170(__exit__)
        8    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\re.py:323(_subx)
       21    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_parse.py:312(_class_escape)
        2    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
        5    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_compile.py:374(_mk_bitmap)
        5    0.000    0.000    0.000    0.000 C:\wamp\www\mesa\python\classes.py:110(earliest_time)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:94(acquire)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:510(spec_from_file_location)
        8    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\re.py:306(_compile_repl)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:119(release)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\_strptime.py:94(<listcomp>)
      254    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:363(_verbose_message)
        4    0.000    0.000    0.000    0.000 C:\wamp\www\mesa\python\functions.py:119(maxtime)
       76    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_parse.py:165(append)
      417    0.000    0.000    0.000    0.000 {method 'toordinal' of 'datetime.date' objects}
        1    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
      134    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       13    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_parse.py:78(opengroup)
       29    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
       70    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_parse.py:276(tell)
       23    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        4    0.000    0.000    0.000    0.000 C:\wamp\www\mesa\python\functions.py:137(mintime)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_parse.py:846(parse_template)
        5    0.000    0.000    0.000    0.000 C:\wamp\www\mesa\python\classes.py:151(latest_time)
      268    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       11    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_parse.py:217(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:436(spec_from_loader)
       53    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_parse.py:105(__init__)
       72    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_compile.py:101(fixup)
      104    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\datetime.py:1814(timezone)
        4    0.000    0.000    0.000    0.000 C:\wamp\www\mesa\python\functions.py:128(mindate)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:856(__exit__)
        5    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_compile.py:376(<listcomp>)
        3    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\datetime.py:1318(__new__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
       75    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       11    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
